,#AUTHID,STATUS,sentiNEG,sentiPOS,sentiNEU,sentiCOMPOUND,sEXT,sNEU,sAGR,sCON,sOPN,cEXT,cNEU,cAGR,cCON,cOPN,DATE,NETWORKSIZE,BETWEENNESS,NBETWEENNESS,DENSITY,BROKERAGE,NBROKERAGE,TRANSITIVITY
21,b7b7764cfa1c523e4e93ab2a79a946c4,Why is it I'm only getting the urge to draw when I have stuff to do for school? D;,0.214,0.0,0.786,-0.6841,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,08/26/09 12:16 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
22,b7b7764cfa1c523e4e93ab2a79a946c4,Who'da thought a single text message could be enough to change my mind?,0.0,0.0,1.0,0.0,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,08/30/09 03:39 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
23,b7b7764cfa1c523e4e93ab2a79a946c4,wishes to develop a super power that prevents her from needing to sleep.,0.0,0.43,0.57,0.7003,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,09/01/09 02:05 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
24,b7b7764cfa1c523e4e93ab2a79a946c4,"TELL ME WHAT TO DRAW, PLOX.",0.0,0.0,1.0,0.0,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,08/02/09 09:14 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
25,b7b7764cfa1c523e4e93ab2a79a946c4,"found a bunny, bunny died, buried bunny, now is drawing.",0.31,0.0,0.69,-0.5574,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,07/26/09 07:53 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
26,b7b7764cfa1c523e4e93ab2a79a946c4,<3,0.0,1.0,0.0,0.4404,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,09/08/09 11:00 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
27,b7b7764cfa1c523e4e93ab2a79a946c4,is just about insane by now.,0.351,0.0,0.649,-0.4019,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,09/08/09 09:46 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
28,b7b7764cfa1c523e4e93ab2a79a946c4,wants to sleep eight hours tonight. And so she shall.,0.0,0.0,1.0,0.0,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,09/17/09 01:32 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
29,b7b7764cfa1c523e4e93ab2a79a946c4,"really hates hormones and emotions right now. Well, has hated them a lot recently. Goodness.",0.329,0.227,0.445,-0.5095,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,09/08/09 03:04 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
30,b7b7764cfa1c523e4e93ab2a79a946c4,has a watch that matches her glasses. She wishes she hadn't spazzed with glee when she saw it in the store.,0.147,0.07,0.784,-0.4153,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,08/01/09 04:34 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
31,b7b7764cfa1c523e4e93ab2a79a946c4,"loved 9! Allegory, symbolism, talking ragdolls, satire, and explosions! Yes!",0.0,0.483,0.517,0.8164,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,09/10/09 02:56 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
32,b7b7764cfa1c523e4e93ab2a79a946c4,can't sit on her futon because she knows as soon as she does she'll lie down and pass out. Uncomfortable rolly desk chair it is. :(,0.186,0.0,0.814,-0.6705,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,09/14/09 01:29 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
33,b7b7764cfa1c523e4e93ab2a79a946c4,"should spend less time writing chapters for the story she'll never finish, and try reading more books. Preferably, during the daytime, and not at 3:00 AM.",0.0,0.0,1.0,0.0,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,08/04/09 06:59 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
34,b7b7764cfa1c523e4e93ab2a79a946c4,is watching kid's cartoons and wishing she weren't so old.,0.0,0.174,0.826,0.2263,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,08/20/09 11:55 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
35,b7b7764cfa1c523e4e93ab2a79a946c4,"has work tomorrow, and hopes they teach her how to use the cash register. :D",0.0,0.345,0.655,0.7804,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,09/05/09 01:20 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
36,b7b7764cfa1c523e4e93ab2a79a946c4,"is grateful she did most of her work during her wait for a ride home this afternoon and then during the Open House. Sleeeep, she beckons.",0.0,0.111,0.889,0.4588,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,09/15/09 02:27 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
37,b7b7764cfa1c523e4e93ab2a79a946c4,has a really confusing internal dilemma. She also wonders if anyone can guess what it is.,0.242,0.0,0.758,-0.4865,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,10/08/09 02:05 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
38,b7b7764cfa1c523e4e93ab2a79a946c4,thinks she needs to stop leaving so many pictures half-done before getting new ideas.,0.145,0.0,0.855,-0.296,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,09/30/09 02:01 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
39,b7b7764cfa1c523e4e93ab2a79a946c4,"has grown weary of drawing her paranoid, soldier//housewife Jynx character in comic form, and must thusly go to sleep to replenish her desire to work tirelessly on a mere audition.",0.125,0.082,0.793,-0.1027,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,10/16/09 01:39 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
40,b7b7764cfa1c523e4e93ab2a79a946c4,is seeing 9 tonight... maybe?,0.0,0.0,1.0,0.0,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,09/09/09 09:23 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
41,b7b7764cfa1c523e4e93ab2a79a946c4,"is going to work on comics, then crash into her futon with all the love unconsciousness deserves.",0.123,0.192,0.685,0.3612,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,10/23/09 09:57 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
42,b7b7764cfa1c523e4e93ab2a79a946c4,WEEKEND. I LOVE YOU.,0.0,0.677,0.323,0.6369,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,08/29/09 02:48 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
43,b7b7764cfa1c523e4e93ab2a79a946c4,"is listening to Relient K and thinking about plants, lawyers, and internships.",0.0,0.0,1.0,0.0,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,10/19/09 01:07 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
44,b7b7764cfa1c523e4e93ab2a79a946c4,"is drawing instead of homeworking. :| This is fun, but not good.",0.279,0.139,0.582,-0.2867,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,09/24/09 01:28 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
45,b7b7764cfa1c523e4e93ab2a79a946c4,will sleep like a champion tonight.,0.0,0.681,0.319,0.7506,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,10/03/09 02:27 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
46,b7b7764cfa1c523e4e93ab2a79a946c4,"dishes, webcomics, laziness, internal lack of disruption. Alright.",0.407,0.169,0.424,-0.4215,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,10/30/09 07:45 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
47,b7b7764cfa1c523e4e93ab2a79a946c4,"wishes she weren't ticklish sometimes. Right now, though, is not one of those times. :)",0.0,0.261,0.739,0.5574,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,10/26/09 12:45 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
48,b7b7764cfa1c523e4e93ab2a79a946c4,has a magical ceiling.,0.0,0.0,1.0,0.0,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,10/10/09 03:24 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
49,b7b7764cfa1c523e4e93ab2a79a946c4,"went to bed early, slept in, and still feels like she hasn'tgotten a proper night's sleep.",0.0,0.152,0.848,0.3612,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,11/13/09 10:35 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
50,b7b7764cfa1c523e4e93ab2a79a946c4,"got taught how to use the register (<3!!!~), enjoyed (500) Days of Summer, and is looking forward to going to the beach Monday.",0.0,0.16,0.84,0.6341,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,09/06/09 12:50 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
51,b7b7764cfa1c523e4e93ab2a79a946c4,hates FML on principle.,0.492,0.0,0.508,-0.4404,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,11/01/09 11:32 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
52,b7b7764cfa1c523e4e93ab2a79a946c4,realizes traditional media hate her and has shunned her penvcils in favor of the tablet. That'll learn 'em.,0.165,0.121,0.714,-0.25,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,11/23/09 07:17 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
53,b7b7764cfa1c523e4e93ab2a79a946c4,"was all prepared to do her weekend homeowrk the morning it was due, but realized she left the necessary binder at school. FFFFFFFFFFFFF-",0.0,0.062,0.938,0.1154,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,10/12/09 09:33 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
54,b7b7764cfa1c523e4e93ab2a79a946c4,"has early work blargedy-argdey-blah. Minimuuum waaaage, I looove youuu.",0.0,0.0,1.0,0.0,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,10/11/09 10:33 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
55,b7b7764cfa1c523e4e93ab2a79a946c4,"Far away // This ship has taken me so far away... Goshdarnit, Muse, stop being so awesome.",0.102,0.203,0.695,0.4927,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,10/05/09 11:36 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
56,b7b7764cfa1c523e4e93ab2a79a946c4,is a little excited to see the talent show.,0.0,0.45,0.55,0.6003,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,11/09/09 10:50 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
57,b7b7764cfa1c523e4e93ab2a79a946c4,"is tired. She would sleep, but there's a cat on her desk that requires supervision.",0.13,0.0,0.87,-0.2382,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,11/21/09 10:16 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
58,b7b7764cfa1c523e4e93ab2a79a946c4,"I don't hate you.// Well, you found me. Congratulations. Was it worth it?// The only thing you've managed to break so far is my heart.// This isn't brave. It's murder.// What did I ever do to you?// You don't care, do you.// Please proceed to Andorid Hell.",0.202,0.184,0.614,-0.2686,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,12/07/09 04:29 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
59,b7b7764cfa1c523e4e93ab2a79a946c4,"needs a stupid, fluffy book to read inbetween experiences of normalcy.",0.274,0.0,0.726,-0.5267,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,11/06/09 03:14 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
60,b7b7764cfa1c523e4e93ab2a79a946c4,will be up very late so she can ride with her dad to the airport to pick up her mamacita from a (as of now) 11:20 PM landing in from Illinois.,0.0,0.0,1.0,0.0,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,12/01/09 02:32 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
61,b7b7764cfa1c523e4e93ab2a79a946c4,"IS IN COMPLETE LOVE WITH THE BLACKBERRY HER MOM JUST SURPRISED HER WITH. AND YES. SHE IS SO EXCITED, THAT CAPS ARE COMPLETELY NECESSARY. <3 <3 <3 <3 <3<3",0.0,0.593,0.407,0.9857,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,12/05/09 10:04 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
62,b7b7764cfa1c523e4e93ab2a79a946c4,"is looking forward to early January. Not the birthday per se, but the potential to meet a good friend. :)",0.0,0.432,0.568,0.9209,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,12/10/09 01:23 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
63,b7b7764cfa1c523e4e93ab2a79a946c4,needs to stop listening to her normal playlist if she wants to stop waking up feeling like she's missed something big.,0.248,0.15,0.602,-0.3818,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,12/13/09 01:10 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
64,b7b7764cfa1c523e4e93ab2a79a946c4,spews toxic gas into your personal air bubble. It's super effective!,0.0,0.448,0.552,0.807,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,12/13/09 04:21 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
65,b7b7764cfa1c523e4e93ab2a79a946c4,"has a comfortably comfy and mildly oversized cotton jacket from Wal*Mart. Yay, it's so soft. <3 <3 <3",0.0,0.567,0.433,0.9407,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,11/28/09 01:47 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
66,b7b7764cfa1c523e4e93ab2a79a946c4,"thinks Oviedo play was awesome (as it should be. Sleep, though-- she beckons sweetly with the promise of dreams and pillow-related comfort. Night all.",0.0,0.487,0.513,0.9442,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,12/05/09 02:54 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
67,b7b7764cfa1c523e4e93ab2a79a946c4,"just made a nucketful of cookies and a bunch of baked fries. :) Yes, I am awesome.",0.0,0.471,0.529,0.8689,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,12/15/09 05:03 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
68,b7b7764cfa1c523e4e93ab2a79a946c4,"has made more cookies, as well as a bunch of croissants for breakfast and piggies in various blankets for tomorrow afternoon. Despite the late//early hour, this is only further awesomeness.",0.0,0.078,0.922,0.3321,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,12/17/09 05:21 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
69,b7b7764cfa1c523e4e93ab2a79a946c4,has a fair idea of how to manage the 2.5 kids cliche... She just needs a very strong gentleman named *PROPNAME* and thriteen wet napkins.,0.0,0.219,0.781,0.7089,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,11/24/09 05:07 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
70,b7b7764cfa1c523e4e93ab2a79a946c4,saw Up. Also saw two Chuck Norris movies. FFFFFFFFFFFF- WEIRDEST MIX EVER.,0.193,0.0,0.807,-0.3885,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,06/18/09 05:44 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
71,b7b7764cfa1c523e4e93ab2a79a946c4,"has an Autobot lunchbox, and can therefore die happy now. :) In other news, she has also spent the last three hours on an off reading a webcomic that started in 1999.",0.101,0.174,0.725,0.4215,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,12/21/09 03:58 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
72,b7b7764cfa1c523e4e93ab2a79a946c4,", in the post office, with the long-overdue copy of Photoshop for a friend. I win at the game of Clue.",0.0,0.304,0.696,0.7906,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,12/23/09 04:34 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
73,b7b7764cfa1c523e4e93ab2a79a946c4,Clakclakclak rawrrrrr mel haxxxxxx RWRRRRRRRR LOLZLOLZLOLZLOLZ IM SO HOOD PUNK STOOPID YO,0.0,0.0,1.0,0.0,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,12/07/09 08:42 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
74,b7b7764cfa1c523e4e93ab2a79a946c4,We are not who you think we are. We are Golden.,0.0,0.0,1.0,0.0,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,12/26/09 01:31 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
75,b7b7764cfa1c523e4e93ab2a79a946c4,I am a lumberjack with a Castro Hat.,0.0,0.0,1.0,0.0,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,12/30/09 06:45 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
76,b7b7764cfa1c523e4e93ab2a79a946c4,The day you wake up and realize you've just slept twelve hours and still want to sleep some more is the day you need to get back on a regular sleeping schedule.,0.0,0.042,0.958,0.0772,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,07/06/09 07:25 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
77,b7b7764cfa1c523e4e93ab2a79a946c4,actually doesn't mind coloring with markers as much as she thought. Yay for coloring vividly creepy villainesses! :D,0.117,0.3,0.583,0.6932,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,12/31/09 03:31 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
78,b7b7764cfa1c523e4e93ab2a79a946c4,thinks maybe singing along with the radio during most of the eight-hour ride home didn't help her throat//cough//chestcold thingvery much.,0.106,0.0,0.894,-0.3089,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,12/30/09 02:10 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
79,b7b7764cfa1c523e4e93ab2a79a946c4,drove to a gas station. Number of times sent into a panic behind the wheel: 6. I hate 40 mph zones. D;,0.416,0.047,0.537,-0.9068,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,11/30/09 12:31 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
80,b7b7764cfa1c523e4e93ab2a79a946c4,"A Great New Year to everybody. :) <3 Make the best of everything you see, and never let the bad stuff keep you down for long!",0.0,0.464,0.536,0.9541,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,01/01/09 04:37 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
81,b7b7764cfa1c523e4e93ab2a79a946c4,"has 48 hours to do pretty much all her break work, clean her room, do the dishes, rearrange the furniture in her room, and practive drop spins maybe a dozen more times. XD Why not, right?",0.048,0.244,0.708,0.8628,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,01/02/09 10:26 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
82,b7b7764cfa1c523e4e93ab2a79a946c4,is open to requests.,0.0,0.0,1.0,0.0,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,07/30/09 04:57 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
83,b7b7764cfa1c523e4e93ab2a79a946c4,is frankly at a loss as far as her current internal project.,0.187,0.0,0.813,-0.3182,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,01/06/10 02:49 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
84,b7b7764cfa1c523e4e93ab2a79a946c4,is gonna stay awake all night. Then I should be able to just pass out at 9 PM tomorrow (today).,0.0,0.0,1.0,0.0,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,08/07/09 07:40 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
85,b7b7764cfa1c523e4e93ab2a79a946c4,can't sleep. Remedies?,0.0,0.0,1.0,0.0,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,07/22/09 06:06 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
86,b7b7764cfa1c523e4e93ab2a79a946c4,Why are the people I want to talk to never online when I am?,0.0,0.106,0.894,0.0772,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,08/23/09 03:43 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
87,b7b7764cfa1c523e4e93ab2a79a946c4,"needs to stop stressing over her personal stuff. Homework beckons with a bejeweled, smirking claw, and I must answer, tethered by iron to the responsibilities of real life.",0.164,0.0,0.836,-0.5719,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,01/07/10 09:42 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
88,b7b7764cfa1c523e4e93ab2a79a946c4,is in love with her hair today. <3,0.0,0.542,0.458,0.7964,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,01/11/10 10:18 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
89,b7b7764cfa1c523e4e93ab2a79a946c4,"was right. :) Today was pretty much fantastic, all around.",0.0,0.583,0.417,0.8689,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,01/16/10 03:39 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
90,b7b7764cfa1c523e4e93ab2a79a946c4,feels tomorrow will be a busy and very nice day. :),0.0,0.443,0.557,0.7474,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,01/15/10 03:12 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
